2022-05-25 20:28:30,884 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52630)>: {'action': 'presence', 'time': 1653499710.200316, 'user': {'account_name': 'Guest'}, 'message': 'вв'}
2022-05-25 20:28:30,886 INFO      server.py проверка сообщения от клента
2022-05-25 20:28:30,887 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:28:30,888 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653499710.200316, 'user': {'account_name': 'Guest'}, 'message': 'вв'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:28:30,890 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52630)>, {'response': 200, 'message': 'ВВ'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:28:30,890 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52630)>
2022-05-25 20:30:25,119 INFO      server.py Определяем параметры сервера
2022-05-25 20:30:25,119 DEBUG     server.py Используется порт по умолчанию 7777
2022-05-25 20:30:25,119 INFO      server.py Используется адрес по умолчанию
2022-05-25 20:30:25,119 INFO      server.py Готовим сокет
2022-05-25 20:30:34,082 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52647)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:34,082 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52647)>: {'action': 'presence', 'time': 1653499833.008991, 'user': {'account_name': 'Guest'}, 'message': 'dd'}
2022-05-25 20:30:34,084 INFO      server.py проверка сообщения от клента
2022-05-25 20:30:34,084 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:30:34,087 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653499833.008991, 'user': {'account_name': 'Guest'}, 'message': 'dd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:30:34,088 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>, {'response': 200, 'message': 'DD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:34,089 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>
2022-05-25 20:30:34,091 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52647)>, {'response': 200, 'message': 'DD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:34,092 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52647)>
2022-05-25 20:30:37,136 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:37,136 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>: {'action': 'presence', 'time': 1653499836.912493, 'user': {'account_name': 'Guest'}, 'message': 'ss'}
2022-05-25 20:30:37,141 INFO      server.py проверка сообщения от клента
2022-05-25 20:30:37,142 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:30:37,143 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653499836.912493, 'user': {'account_name': 'Guest'}, 'message': 'ss'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:30:37,145 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>, {'response': 200, 'message': 'SS'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:37,145 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>
2022-05-25 20:30:37,147 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52647)>, {'response': 200, 'message': 'SS'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:37,148 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52647)>
2022-05-25 20:30:45,218 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:30:45,219 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=312, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52646)>: {'action': 'presence', 'time': 1653499844.7535334, 'user': {'account_name': 'Guest'}, 'message': 'ss'}
2022-05-25 20:30:45,223 INFO      server.py проверка сообщения от клента
2022-05-25 20:30:45,225 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:30:45,228 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653499844.7535334, 'user': {'account_name': 'Guest'}, 'message': 'ss'},), kwargs = {}, из модуля "__main__", из функции "main"
